date,region,rainfall,rain_intensity,planting_time
1-May-18,"Jambon, Sleman",64,6,BURUK
1-Jun-18,"Jambon, Sleman",24,1,BURUK
1-Jul-18,"Jambon, Sleman",0,0,BURUK
1-Aug-18,"Jambon, Sleman",0,0,BURUK
1-Sep-18,"Jambon, Sleman",7,1,BURUK
1-Oct-18,"Jambon, Sleman",0,0,BURUK
1-Nov-18,"Jambon, Sleman",383,8,BAIK
1-Dec-18,"Jambon, Sleman",229,13,BURUK
1-Jan-19,"Jambon, Sleman",381,19,BAIK
1-Feb-19,"Jambon, Sleman",188,15,BURUK
1-Mar-19,"Jambon, Sleman",596,18,BAIK
1-Apr-19,"Jambon, Sleman",320,12,BAIK
1-May-19,"Jambon, Sleman",85,2,BURUK
1-Jun-19,"Jambon, Sleman",0,0,BURUK
1-Jul-19,"Jambon, Sleman",0,0,BURUK
1-Aug-19,"Jambon, Sleman",2,1,BURUK
1-Sep-19,"Jambon, Sleman",0,0,BURUK
1-Oct-19,"Jambon, Sleman",0,0,BURUK
1-Nov-19,"Jambon, Sleman",60,2,BURUK
1-Dec-19,"Jambon, Sleman",493,20,BAIK
1-Jan-15,"Nyemengan, Bantul",486,18,BAIK
1-Feb-15,"Nyemengan, Bantul",0,0,BURUK
1-Mar-15,"Nyemengan, Bantul",469,21,BAIK
1-Apr-15,"Nyemengan, Bantul",293,9,BAIK
1-May-15,"Nyemengan, Bantul",59,3,BURUK
1-Jun-15,"Nyemengan, Bantul",49,1,BURUK
1-Jul-15,"Nyemengan, Bantul",0,0,BURUK
1-Aug-15,"Nyemengan, Bantul",0,0,BURUK
1-Sep-15,"Nyemengan, Bantul",0,0,BURUK
1-Oct-15,"Nyemengan, Bantul",0,0,BURUK
1-Nov-15,"Nyemengan, Bantul",0,0,BURUK
1-Dec-15,"Nyemengan, Bantul",187,13,BURUK
1-Jan-16,"Nyemengan, Bantul",155,11,BURUK
1-Feb-16,"Nyemengan, Bantul",281,13,BAIK
1-Mar-16,"Nyemengan, Bantul",410,16,BAIK
1-Apr-16,"Nyemengan, Bantul",152,7,BURUK
1-May-16,"Nyemengan, Bantul",188,8,BURUK
1-Jun-16,"Nyemengan, Bantul",153,5,BURUK
1-Jul-16,"Nyemengan, Bantul",89,6,BURUK
1-Aug-16,"Nyemengan, Bantul",114,6,BURUK
1-Sep-16,"Nyemengan, Bantul",212,9,BURUK
1-Oct-16,"Nyemengan, Bantul",296,14,BAIK
1-Nov-16,"Nyemengan, Bantul",309,13,BAIK
1-Dec-16,"Nyemengan, Bantul",249,14,BURUK
1-Jan-17,"Nyemengan, Bantul",277,16,BAIK
1-Feb-17,"Nyemengan, Bantul",407,15,BAIK
1-Mar-17,"Nyemengan, Bantul",464,13,BAIK
1-Apr-17,"Nyemengan, Bantul",216,8,BURUK
1-May-17,"Nyemengan, Bantul",33,2,BURUK
1-Jun-17,"Nyemengan, Bantul",33,1,BURUK
1-Jul-17,"Nyemengan, Bantul",3,1,BURUK
1-Aug-17,"Nyemengan, Bantul",0,0,BURUK
1-Sep-17,"Nyemengan, Bantul",60,2,BURUK
1-Oct-17,"Nyemengan, Bantul",114,6,BURUK
1-Nov-17,"Nyemengan, Bantul",693,14,BAIK
1-Dec-17,"Nyemengan, Bantul",316,13,BAIK
1-Jan-18,"Nyemengan, Bantul",500,20,BAIK
1-Feb-18,"Nyemengan, Bantul",354,16,BAIK
1-Mar-18,"Nyemengan, Bantul",317,10,BAIK
1-Apr-18,"Nyemengan, Bantul",82,6,BURUK
1-May-18,"Nyemengan, Bantul",0,0,BURUK
1-Jun-18,"Nyemengan, Bantul",0,0,BURUK
1-Jul-18,"Nyemengan, Bantul",0,0,BURUK
1-Aug-18,"Nyemengan, Bantul",0,0,BURUK
1-Sep-18,"Nyemengan, Bantul",0,0,BURUK
1-Oct-18,"Nyemengan, Bantul",0,0,BURUK
1-Nov-18,"Nyemengan, Bantul",0,0,BURUK
1-Dec-18,"Nyemengan, Bantul",220,8,BURUK
1-Jan-19,"Nyemengan, Bantul",371,16,BAIK
1-Feb-19,"Nyemengan, Bantul",377,11,BAIK
1-Mar-19,"Nyemengan, Bantul",755,14,BAIK
1-Apr-19,"Nyemengan, Bantul",162,4,BURUK
1-May-19,"Nyemengan, Bantul",0,0,BURUK
1-Jun-19,"Nyemengan, Bantul",0,0,BURUK
1-Jul-19,"Nyemengan, Bantul",0,0,BURUK
1-Aug-19,"Nyemengan, Bantul",0,0,BURUK
1-Sep-19,"Nyemengan, Bantul",0,0,BURUK
1-Oct-19,"Nyemengan, Bantul",0,0,BURUK
1-Nov-19,"Nyemengan, Bantul",47,3,BURUK
1-Dec-19,"Nyemengan, Bantul",229,9,BURUK
1-Jan-15,"Ngestiharjo, Bantul",412,17,BAIK
1-Feb-15,"Ngestiharjo, Bantul",166,8,BURUK
1-Mar-15,"Ngestiharjo, Bantul",485,20,BAIK
1-Apr-15,"Ngestiharjo, Bantul",310,12,BAIK
1-May-15,"Ngestiharjo, Bantul",104,5,BURUK
1-Jun-15,"Ngestiharjo, Bantul",50,2,BURUK
1-Jul-15,"Ngestiharjo, Bantul",0,0,BURUK
