date,region,rainfall,rain_intensity,planting_time
10/1/2016,"Maguwoharo, Sleman",281,13,BAIK
11/1/2016,"Maguwoharo, Sleman",545,23,BAIK
12/1/2016,"Maguwoharo, Sleman",381,13,BAIK
1/1/2017,"Maguwoharo, Sleman",414,17,BAIK
2/1/2017,"Maguwoharo, Sleman",364,21,BAIK
3/1/2017,"Maguwoharo, Sleman",258,14,BAIK
4/1/2017,"Maguwoharo, Sleman",186,13,BURUK
5/1/2017,"Maguwoharo, Sleman",80,5,BURUK
6/1/2017,"Maguwoharo, Sleman",48,3,BURUK
7/1/2017,"Maguwoharo, Sleman",4,1,BURUK
8/1/2017,"Maguwoharo, Sleman",0,0,BURUK
9/1/2017,"Maguwoharo, Sleman",59,4,BURUK
10/1/2017,"Maguwoharo, Sleman",80,10,BURUK
11/1/2017,"Maguwoharo, Sleman",677,16,BAIK
12/1/2017,"Maguwoharo, Sleman",365,17,BAIK
1/1/2018,"Maguwoharo, Sleman",632,21,BAIK
2/1/2018,"Maguwoharo, Sleman",350,14,BAIK
3/1/2018,"Maguwoharo, Sleman",412,13,BAIK
4/1/2018,"Maguwoharo, Sleman",139,8,BURUK
5/1/2018,"Maguwoharo, Sleman",62,3,BURUK
6/1/2018,"Maguwoharo, Sleman",2,1,BURUK
7/1/2018,"Maguwoharo, Sleman",0,0,BURUK
8/1/2018,"Maguwoharo, Sleman",0,0,BURUK
9/1/2018,"Maguwoharo, Sleman",56,3,BURUK
10/1/2018,"Maguwoharo, Sleman",0,0,BURUK
11/1/2018,"Maguwoharo, Sleman",382,11,BAIK
12/1/2018,"Maguwoharo, Sleman",207,10,BURUK
1/1/2019,"Maguwoharo, Sleman",329,21,BAIK
2/1/2019,"Maguwoharo, Sleman",215,12,BURUK
3/1/2019,"Maguwoharo, Sleman",659,14,BAIK
4/1/2019,"Maguwoharo, Sleman",189,7,BURUK
5/1/2019,"Maguwoharo, Sleman",40,1,BURUK
6/1/2019,"Maguwoharo, Sleman",0,0,BURUK
7/1/2019,"Maguwoharo, Sleman",0,0,BURUK
8/1/2019,"Maguwoharo, Sleman",0,0,BURUK
9/1/2019,"Maguwoharo, Sleman",0,0,BURUK
10/1/2019,"Maguwoharo, Sleman",0,0,BURUK
11/1/2019,"Maguwoharo, Sleman",53,4,BURUK
12/1/2019,"Maguwoharo, Sleman",300,17,BAIK
1/1/2015,"Jambon, Sleman",297,13,BAIK
2/1/2015,"Jambon, Sleman",258,13,BAIK
3/1/2015,"Jambon, Sleman",560,15,BAIK
4/1/2015,"Jambon, Sleman",347,14,BAIK
5/1/2015,"Jambon, Sleman",63,3,BURUK
6/1/2015,"Jambon, Sleman",63,3,BURUK
7/1/2015,"Jambon, Sleman",0,0,BURUK
8/1/2015,"Jambon, Sleman",0,0,BURUK
9/1/2015,"Jambon, Sleman",0,0,BURUK
10/1/2015,"Jambon, Sleman",0,0,BURUK
11/1/2015,"Jambon, Sleman",187,11,BURUK
12/1/2015,"Jambon, Sleman",379,22,BAIK
1/1/2016,"Jambon, Sleman",311,11,BAIK
2/1/2016,"Jambon, Sleman",0,0,BURUK
3/1/2016,"Jambon, Sleman",609,22,BAIK
4/1/2016,"Jambon, Sleman",143,9,BURUK
5/1/2016,"Jambon, Sleman",354,13,BAIK
6/1/2016,"Jambon, Sleman",137,9,BURUK
7/1/2016,"Jambon, Sleman",195,9,BURUK
8/1/2016,"Jambon, Sleman",0,0,BURUK
9/1/2016,"Jambon, Sleman",310,13,BAIK
10/1/2016,"Jambon, Sleman",440,15,BAIK
11/1/2016,"Jambon, Sleman",520,18,BAIK
12/1/2016,"Jambon, Sleman",322,11,BAIK
1/1/2017,"Jambon, Sleman",371,18,BAIK
2/1/2017,"Jambon, Sleman",327,15,BAIK
3/1/2017,"Jambon, Sleman",396,13,BAIK
4/1/2017,"Jambon, Sleman",418,12,BAIK
5/1/2017,"Jambon, Sleman",172,6,BURUK
6/1/2017,"Jambon, Sleman",5,1,BURUK
